Model Name,V_rated,Irated,Package,RthJC IGBT,RthJC Diode,RthCS,Blank,Tjrated,Vref,EonTjmax,hTjmax,kTjmax,xTjmax,EoffTjmax,mTjmax,nTjmax,yTjmax,VtTjmax,aTjmax,bTjmax,Er0Tjmax,d1Tjmax,d2Tjmax,VtdTjmax,adTjmax,bdTjmax,Eon,h,k,x,Eoff,m,n,y,Vt,a,b,Er0,d1,d2,Vtd,ad,bd,Include Model?,
Models_Random,,,,,,,,,,IGBT Parameters at Tjmax,,,,,,,,,,,Diode Parameters at Tjmax,,,,,,IGBT Parameters at 25°C,,,,,,,,,,,Diode Parameters at 25°C,Diode Parameters at 25°C,,,,,,
IRGP30B120KD-E,1200,25,TO-247AD,0.42,0.83,1,,150,600,,38.2047,1.17564,,,99.9516,1.00264,,0.95796,0.17414,0.71765,,47.2309,0.9968899,0.504784,0.217018,0.587245,,23.3822,1.148105,,,66.8455,0.942151,,1.520362,0.032229,1.019347,,18.259177,1.036407,0.705375,0.209664,0.547949,1,
IRGPS40B120UD,1200,40,TO-274AA,0.2,0.83,1,,150,600,,40.734,1.09597,,,26.41897,1.21027,,1.06535,0.33144,0.56824,,48.417484,0.987265401,0.476119,0.215595,0.579019,,26.3209,1.116497,,,17.0015,1.268945,,1.50236,0.075439,0.84963,,17.617813,1.052967,0.747233,0.207059,0.520235,1,
IRGPS60B120KD,1200,60,TO-274AA,0.2,0.41,1,,150,600,,51.0158,1.21311,,,166.19169,0.9442,,0.96438,0.10727,0.73757,,,,0.514617,0.162959,0.551673,,31.0572,1.156278,,,98.2744,1.000958,,1.534509,0.01563,0.965613,,,,0.720564,0.126973,0.539246,1,
IRGP4072D,300,40,TO-247AC,0.7,0.87,1,,150,240,,30.1763,0.91208,,,11.54865,1.17575,,0.47765,0.10847,0.60985,,81.21006059,0.63970326,0.394271,0.173509,0.505934,,8.0846,1.040492,,,26.3336,1.061816,,0.671188,0.144148,0.441798,,43.288445,0.628426,0.64136,0.314323,0.419319,1,
IRGB4059D,600,4,TO-220AB,2.7,6.3,2,,175,400,,34.217,0.72618,,,41.81324,0.65819,,0.62398,0.57189,0.77228,,43.23099847,0.644511998,0.527234,0.352627,0.528246,,16.0907,0.786746,,,26.2347,0.670505,,0.571455,0.487726,0.568272,,33.187511,0.549296,0.724547,0.502371,0.345348,1,
IRGS4045D,600,6,TO-263AB,1.9,6.3,35,,175,400,20.0488,32.2246,1.11982,,11.9198,19.87428,1.00036,,0.60618,0.3785,0.79986,,57.21670066,0.619894462,0.529688,0.351747,0.545435,9.832,15.8852,1.206579,,7.8382,9.4872,1.01359,,0.601373,0.387919,0.588938,,28.710733,0.6053,0.691079,0.511072,0.341575,1,
IRGI4045D,600,6,TO-220 FullPak,3.76,9,0.5,,175,400,20.4518,26.8678,1.18376,,11.8179,17.01941,1.11138,,0.60739,0.38056,0.78047,,60.17072546,0.581627433,0.505859,0.338662,0.519241,9.7982,15.9448,1.201821,,8.2329,9.9096,1.033771,,0.575611,0.376304,0.593176,,29.260837,0.613381,0.691082,0.526583,0.337208,1,
IRGB4045D,600,6,TO-220AB,1.94,6.3,2,,175,400,20.7369,30.5918,1.03623,,12.4167,19.6923,1.04945,,0.61753,0.38685,0.80504,,57.9047409,0.62395323,0.507295,0.341537,0.554023,10.1044,16.3984,1.191732,,7.8867,9.8391,1.023785,,0.60635,0.39094,0.565977,,29.577411,0.627703,0.683278,0.500683,0.341602,1,
IRGI4060D,600,8,TO-220 FullPak,3.4,3.66,0.5,,150,400,,38.4904,0.74299,,,52.85326,0.64113,,0.5312,0.25934,0.57214,,69.4311424,0.402098015,0.527825,0.340016,0.514444,,18.8104,0.831584,,,33.6636,0.675204,,0.713215,0.514254,0.390858,,22.541063,0.380718,0.71096,0.564429,0.344793,1,
IRGB4060D,600,8,TO-220AB,1.51,3.66,2,,175,400,,43.388,0.74194,,,55.19217,0.68395,,0.6246,0.27765,0.76523,,78.32532491,0.38480573,0.478336,0.285073,0.554591,,18.6355,0.843665,,,35.1326,0.66277,,0.569826,0.287414,0.561905,,22.345361,0.378428,0.694768,0.558651,0.33459,1,
IRGS4064D,600,10,TO-263AB,1.49,3.66,35,,175,400,38.7678,17.427,1.19338,,29.6118,9.82108,1.30947,,0.4028,0.39643,0.6266,,82.70383977,0.380206525,0.46796,0.28943,0.542856,14.9507,5.9134,1.367919,,20.2782,8.6334,0.932869,,0.601848,0.311023,0.493098,,21.708344,0.406417,0.718855,0.569178,0.349875,1,
